Name,ID,Course,Level,Section,Q1_SLO8,Q2_SLO8,Q3_SLO8,Q4_SLO8,Q5_SLO8,Q6_SLO8,Q7_SLO8,Q8_SLO8,Q9_SLO5,Q10_SLO5,Q11_SLO5,Q12_SLO5,Q13_SLO5,Q14_SLO5,Q15_SLO5,Q16_SLO5,Q17_SLO5,Q18_SLO5,Q19_SLO5,Q20_SLO5,Q21_SLO5,Q22_SLO5,Q23_SLO4,Q24_SLO4,Q25_SLO4,Q26_SLO4,Q27_SLO4,Q28_SLO4,Q29_SLO4,Q30_SLO4,Q31_SLO4,Q32_SLO4,Q33_SLO4,Q34_SLO4,Q35_SLO4,Q36_SLO4,Q37_SLO4,Q38_SLO4,Q39_SLO4,Q40_SLO4,Q41_SLO6,Q42_SLO6,Q43_SLO6,Q44_SLO6,Q45_SLO6
Dheer,5434915,Grammar,1,A,2,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,2,2,2,2,2
Laterra,5430316,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Enedelia,9232959,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nicolai,9786557,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Webster,5894078,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Lavonia,5961165,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Oluwademilade,7699080,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Anat,3756127,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Minaya,9912146,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Eulah,7227906,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Arabella,8669969,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Valaree,5112156,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Ladontay,3041320,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Gracean,2632753,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Chelsa,8748211,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Bennye,3026258,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Shelia,3059152,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Yana,2721979,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Dyonna,2859777,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Jeana,3086663,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Jahmad,8584697,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Brookie,3257292,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Roger,5091365,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Carlea,2929608,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Amrutha,7999528,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Hadassah,3333247,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Jahmari,3282927,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Alexander,3009031,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Paulla,8359592,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Bevan,8257469,Grammar,1,A,2,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,2,2,2,2,2
Ardie,1325408,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Neola,1987227,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Iann,2259723,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Leidy,9948601,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Jeniffer,8319727,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Levon,9864616,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Opie,1076464,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Adisyn,6898560,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Riyadh,8538639,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Annick,2603452,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lakira,6116893,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Sophie,8477914,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Felice,1117394,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Cledith,6997807,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Angell,1436853,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Renell,6763332,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Kathryn,4047414,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
