Name,ID,Course,Level,Section,Q1_SLO1,Q2_SLO1,Q3_SLO3,Q4_SLO3,Q5_SLO3,Q6_SLO3,Q7_SLO3,Q8_SLO3,Q9_SLO3,Q10_SLO3,Q11_SLO3,Q12_SLO4,Q13_SLO4,Q14_SLO4,Q15_SLO4,Q16_SLO4,Q17_SLO4,Q18_SLO4,Q19_SLO5,Q20_SLO5,Q21_SLO5,Q22_SLO5,Q23_SLO5,Q24_SLO5,Q25_SLO5,Q26_SLO5,Q27_SLO5,Q28_SLO6,Q29_SLO6,Q30_SLO6,Q31_SLO6,Q32_SLO6,Q33_SLO7,Q34_SLO7,Q35_SLO7,Q36_SLO7,Q37_SLO7,Q38_SLO7,Q39_SLO8,Q40_SLO8,Q41_SLO8,Q42_SLO8,Q43_SLO8,Q44_SLO8,Q45_SLO8,Q46_SLO8,Q47_SLO8,Q48_SLO8,Q49_SLO9,Q50_SLO9,Q51_SLO9,Q52_SLO9,Q53_SLO9,Q54_SLO9,Q55_SLO9,Q56_SLO10
Judie,1929109,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Shantai,2519154,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Latrista,6096721,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Clariza,4957118,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Clarise,2795192,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,10
Paddy,7930284,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Saydee,1803808,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Rommie,7465787,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,10
Sammie,6717190,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Kaye,8319110,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Raegene,1986748,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Analuisa,4001764,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Bob,4398549,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Margaretann,3910635,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Anita,5596821,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Golden,7921167,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Yeira,2565411,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Wamon,5748781,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Eleonore,5775942,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,10
Nicolas,2036096,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,10
Sloane,3237976,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Shareika,5893917,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Ranee,2706943,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Jehiel,7917805,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,10
Jarod,2435376,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Taejon,7820643,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Reida,9707464,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Beryl,1632591,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
January,7844492,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Eleno,4985299,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,10
Kynlee,9929509,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Terionna,4715856,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Carlie,4127746,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Max,2634091,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Mekell,4202589,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,10
Dorise,1282554,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,10
Kayeleigh,3068036,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Johnnyray,4897723,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
Loran,3652845,Grammar,2,A,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,10
Helder,7135414,Grammar,2,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,10
