Name,ID,Course,Level,Section,Q1_SLO1,Q2_SLO1,Q3_SLO1,Q4_SLO1,Q5_SLO1,Q6_SLO1,Q7_SLO1,Q8_SLO1,Q9_SLO1,Q10_SLO1,Q11_SLO1,Q12_SLO1,Q13_SLO1,Q14_SLO2,Q15_SLO2,Q16_SLO2,Q17_SLO2,Q18_SLO2,Q19_SLO2,Q20_SLO2,Q21_SLO2,Q22_SLO2,Q23_SLO2,Q24_SLO3,Q25_SLO3,Q26_SLO3,Q27_SLO4,Q28_SLO4,Q29_SLO4,Q30_SLO4,Q31_SLO4,Q32_SLO4,Q33_SLO5,Q34_SLO5,Q35_SLO5,Q36_SLO5,Q37_SLO5,Q38_SLO5,Q39_SLO5,Q40_SLO5,Q41_SLO5,Q42_SLO5,Q43_SLO5,Q44_SLO5,Q45_SLO5,Q46_SLO6,Q47_SLO6,Q48_SLO6,Q49_SLO6,Q50_SLO6,Q51_SLO6,Q52_SLO6,Q53_SLO6,Q54_SLO6,Q55_SLO6,Q56_SLO7,Q57_SLO7,Q58_SLO7,Q59_SLO7,Q60_SLO7,Q61_SLO7,Q62_SLO7,Q63_SLO8,Q64_SLO8,Q65_SLO8,Q66_SLO8,Q67_SLO9,Q68_SLO8,Q69_SLO8,Q70_SLO9,Q71_SLO8
Raleigh,2141254,Grammar,4,A,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,2
Uchechukwu,3931767,Grammar,4,A,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Severiano,1298763,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Traniece,5779472,Grammar,4,A,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,2,2,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Edyson,3041567,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Montague,8988767,Grammar,4,A,0,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2
Loreatha,3490079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthuro,4208968,Grammar,4,A,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,2
Shanese,6171987,Grammar,4,A,0,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2
Ellery,5109179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorin,9777536,Grammar,4,A,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,2
Claudine,6730752,Grammar,4,A,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,2,2,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Lonnie,6624766,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Rubens,5707408,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaquasha,5307177,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakeline,1868368,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Aaleigha,5338191,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2
Jayvan,5272295,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Burrel,6676527,Grammar,4,A,0,1,1,1,1,1,1,1,2,2,1,0,0,1,1,0,1,2,1,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,0,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2
Ayush,5317022,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Hans,1249991,Grammar,4,A,0,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2
Arnulfo,5268774,Grammar,4,A,1,1,1,0,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,0,0,2,2,2,2,1,1,0,1,2,2,2,2,2
Sonnie,1965086,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Naomi,6075788,Grammar,4,A,0,1,1,1,1,1,1,1,2,2,1,0,0,1,1,0,1,2,1,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,0,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2
Gentry,6593757,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Trudie,8342980,Grammar,4,A,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,2
