Name,ID,Course,Level,Section,Q1_SLO1,Q2_SLO1,Q3_SLO1,Q4_SLO1,Q5_SLO1,Q6_SLO1,Q7_SLO1,Q8_SLO1,Q9_SLO1,Q10_SLO1,Q11_SLO1,Q12_SLO1,Q13_SLO1,Q14_SLO1,Q15_SLO1,Q16_SLO1,Q17_SLO1,Q18_SLO1,Q19_SLO1,Q20_SLO1,Q21_SLO1,Q22_SLO1,Q23_SLO1,Q24_SLO2,Q25_SLO2,Q26_SLO2,Q27_SLO2,Q28_SLO2,Q29_SLO2,Q30_SLO2,Q31_SLO2,Q32_SLO2,Q33_SLO2,Q34_SLO2,Q35_SLO2,Q36_SLO2,Q37_SLO2,Q38_SLO2,Q39_SLO2,Q40_SLO2,Q41_SLO2,Q42_SLO3,Q43_SLO3,Q44_SLO3,Q45_SLO3,Q46_SLO3,Q47_SLO3,Q48_SLO3,Q49_SLO3,Q50_SLO3,Q51_SLO3,Q52_SLO3,Q53_SLO3,Q54_SLO4,Q55_SLO4,Q56_SLO4,Q57_SLO4,Q58_SLO4,Q59_SLO4
Josiah,6719093,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
Catarina,7034376,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Garner,5515105,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Levie,8730958,Grammar,5,A,1,1,1,1,1,1,0,1,1,1,1,2,2,0,2,2,0,1,2,2,2,2,1,2,1,2,2,1,2,2,0,0,2,2,2,0,2,2,2,2,2,1,1,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3
Ellyana,1877346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevar,2396947,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,0,1,2,0,2,1,2,2,1,1,1,1,2,2,2,2,0,2,2,1,1,2,1,0,1,1,1,1,1,0,0,0,2,2,2,2,2,3,3,3
Mardee,8750700,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,0,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Antion,1428843,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,0,1,2,0,2,1,2,2,1,1,1,1,2,2,2,2,0,2,2,1,1,2,1,0,1,1,1,1,1,0,0,0,2,2,2,2,2,3,3,3
Anjelo,5876157,Grammar,5,A,1,1,1,1,0,1,1,1,1,1,1,2,2,1,0,2,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,0,1,1,2,2,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,3,2,3
Fawn,6680498,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Leina,2335022,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
