Name,ID,Course,Level,Section,Q1_SLO2,Q2_SLO2,Q3_SLO2,Q4_SLO2,Q5_SLO2,Q6_SLO2,Q7_SLO2,Q8_SLO2,Q9_SLO2,Q10_SLO2,Q11_SLO2,Q12_SLO2,Q13_SLO2,Q14_SLO2,Q15_SLO2,Q16_SLO2,Q17_SLO2,Q18_SLO2,Q19_SLO2,Q20_SLO2,Q21_SLO3,Q22_SLO3,Q23_SLO3,Q24_SLO3,Q25_SLO3,Q26_SLO3,Q27_SLO3,Q28_SLO3,Q29_SLO3,Q30_SLO3,Q31_SLO3,Q32_SLO3,Q33_SLO3,Q34_SLO3,Q35_SLO3,Q36_SLO3,Q37_SLO3,Q38_SLO3,Q39_SLO3,Q40_SLO3,Q41_SLO4,Q42_SLO4,Q43_SLO4,Q44_SLO4,Q45_SLO4,Q46_SLO4,Q47_SLO4,Q48_SLO4,Q49_SLO4,Q50_SLO4
Dana,4731950,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,B,C,B,A,B
Breion,5631174,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,B,C,B,A,B
Kiley,8429631,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,A,C,B,A,B
Sabena,5125967,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,B,C,B,A,B
Breshonna,2323493,Reading,2,A,C,D,A,B,C,B,D,B,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,D,B,D,C,C,C,D,E,B,D,B,C,B,A,B,C,C,B,A,C,A,A,B
Rondal,3995015,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,C,E,B,C,A,E,E,A,B,D,B,A,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,A,C,A,A,A
Larson,5569108,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,C,E,B,C,A,E,E,A,B,D,B,A,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,A,C,A,A,A
Diannia,4587589,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,B,C,B,A,B
Sherrey,9018895,Reading,2,A,C,D,A,B,C,B,D,B,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,D,B,D,C,C,C,D,E,B,D,B,C,B,A,B,C,C,B,A,C,A,A,B
Kiichi,2963936,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,A,C,B,A,B
Stanton,8247205,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,C,E,B,C,A,E,E,A,B,D,B,A,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,A,C,A,A,A
Jakeisha,5758011,Reading,2,A,C,D,A,B,C,B,D,A,A,E,C,D,D,B,A,E,B,C,A,E,E,A,B,A,B,C,E,A,B,D,C,C,C,D,E,B,D,B,D,B,A,B,C,C,B,B,C,B,A,B
