Name,ID,Course,Level,Section,Q1_Bil_P1_SLO1,Q2_Bil_P2_SLO6,Q3_Bil_P3_SLO6,Q4_Bil_P4_SLO6,Q5_Bil_P5_SLO6,Q6_Bil_P6_SLO6,Q7_Bil_P7_SLO2,Q8_Bil_P8_SLO3,Q9_Bil_P9_SLO2,Q10_Bil_P10_SLO2,Q11_Bil_P11_SLO2,Q12_Bil_P12_SLO2,Q13_Bil_P13_SLO2,Q14_Bil_P14_SLO2,Q15_Age_P1_SLO1,Q16_Age_P2_SLO3,Q17_Age_P3_SLO5,Q18_Age_P4_SLO5,Q19_Age_P5_SLO5,Q20_Age_P6_SLO1,Q21_Age_P7_SLO2,Q22_Age_P8_SLO6,Q23_Age_P9_SLO4,Q24_Age_P10_SLO4,Q25_Econ_P1_SLO3,Q26_Econ_P2_SLO3,Q27_Econ_P3_SLO3,Q28_Econ_P4_SLO5,Q29_Econ_P5_SLO5,Q30_Econ_P6_SLO2,Q31_Econ_P7_SLO1,Q32_Econ_P8_SLO2,Q33_Econ_P9_SLO1,Q34_Econ_P10_SLO6,Q35_Econ_P11_SLO4,Q36_Econ_P12_SLO4,Q37_Econ_P13_SLO4,Q38_Econ_P14_SLO4,Q39_Econ_P15_SLO4,Q40_AVL1_SLO7,Q41_AVL2_SLO7,Q42_AVL3_SLO7,Q43_AVL4_SLO7,Q44_AVL5_SLO7,Q45_AVL6_SLO7,Q46_AVL7_SLO7,Q47_AVL8_SLO7,Q48_AVL9_SLO7,Q49_AVL10_SLO7,Q50_AVL11_SLO7,Q51_AVL12_SLO7,Q52_AVL13_SLO7,Q53_AVL14_SLO7,Total_Raw
Gardenia,2874818,Reading,5,A,B,C,A,C,B,A,B,C,A,B,A,B,A,A,C,A,C,C,A,A,B,B,C,A,C,B,A,B,A,A,C,A,B,B,A,A,B,A,B,C,B,D,E,D,B,A,C,A,D,A,D,A,C,37
Tomasita,7126070,Reading,5,A,B,C,C,B,C,C,C,C,B,A,A,A,B,A,C,A,C,B,A,C,B,B,C,A,C,B,A,C,C,A,C,A,C,C,A,A,B,A,B,D,C,B,A,A,E,D,C,A,C,A,D,A,C,33
Mio,2558461,Reading,5,A,A,C,C,B,C,A,C,C,B,A,A,B,B,B,C,A,C,C,B,B,B,A,C,C,C,B,A,A,C,B,C,B,B,B,A,A,B,A,B,D,B,C,A,A,E,C,B,A,B,B,D,A,C,30
Cirilo,8811146,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,A,B,C,B,B,C,B,C,B,B,C,A,A,C,A,C,A,A,A,B,A,B,D,C,B,A,A,E,C,D,C,B,A,D,A,C,50
Malloree,6265717,Reading,5,A,B,C,C,B,C,C,C,C,B,A,A,A,B,A,C,A,C,B,A,C,B,B,C,A,C,B,A,C,C,A,C,A,C,C,A,A,B,A,B,D,C,B,A,A,E,D,C,A,C,A,D,A,C,33
Cenia,2899634,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,A,B,C,B,B,C,B,C,B,B,C,A,A,C,A,C,A,A,A,B,A,B,D,C,B,A,A,E,C,D,C,B,A,D,A,C,50
Lucias,9404215,Reading,5,A,B,C,C,C,C,C,C,C,B,B,A,B,B,A,C,A,C,A,B,C,B,C,C,B,C,B,B,B,A,B,C,B,B,A,A,A,B,B,B,D,C,B,E,A,E,C,D,B,C,A,C,A,C,28
Elijah,8183751,Reading,5,A,B,C,A,B,B,A,C,C,A,A,A,A,B,B,C,NA,C,C,A,C,B,A,C,A,B,A,B,A,A,C,C,B,B,C,A,A,B,A,B,D,C,B,A,D,E,C,A,D,C,B,D,A,C,34
Arlo,4528151,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Curley,1258272,Reading,5,A,B,C,C,B,C,C,C,C,B,A,A,A,B,A,C,A,C,B,A,C,B,B,C,A,C,B,A,C,C,A,C,A,C,C,A,A,B,A,B,D,C,B,A,A,E,D,C,A,C,A,D,A,C,33
