Name,ID,Course,Level,Section,Q1_Gen_P1_SLO1,Q2_Gen_P2_SLO1,Q3_Gen_P3_SLO1,Q4_Gen_P4_SLO4,Q5_Gen_P5_SLO3,Q6_Gen_P6_SLO5,Q7_Gen_P7_SLO1,Q8_Gen_P8_SLO1,Q9_Gen_P9_SLO1,Q10_Gen_P10_SLO1,Q11_Gen_P11_SLO1,Q12_Gen_P12_SLO1,Q13_Hel_P1_SLO1,Q14_Hel_P2_SLO2,Q15_Hel_P3_SLO4,Q16_Hel_P4_SLO1,Q17_Hel_P5_SLO1,Q18_Hel_P6_SLO1,Q19_Hel_P7_SLO1,Q20_Hel_P8_SLO1,Q21_Hel_P9_SLO5,Q22_Hel_P10_SLO2,Q23_Hel_P11_SLO2,Q24_Hel_P12_SLO2,Q25_Hel_P13_SLO2,Q26_Text_P1_SLO1,Q27_Text_P2_SLO3,Q28_Text_P3_SLO4,Q29_Text_P4_SLO4,Q30_Text_P5_SLO2,Q31_Text_P6_SLO1,Q32_Text_P7_SLO4,Q33_Text_P8_SLO5,Q34_SLO6,Q35_SLO6,Q36_SLO6,Q37_SLO6,Q38_SLO6,Q39_SLO6,Q40_SLO6,Q41_SLO6,Q42_SLO6,Q43_SLO6,Q44_SLO6,Q45_SLO6,Q46_SLO6,Q47_SLO6
Garrett,7121151,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob,7293373,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Ruthellen,4751993,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minta,1227715,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Andrew,5810340,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,A,B,C,C,B,A,A,A,B,A,A,A,A,C,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Sun,3608460,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,C,C,B,A,B,A,A,A,A,A,A,C,C,C,C,A,A,C,C,C,A,D,D,C,E,B,C,E,D,D,B,E,C
Sonya,1496600,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hennie,9105046,Reading,6,A,A,B,A,C,B,C,A,B,A,B,B,A,B,C,C,C,A,B,A,A,B,A,A,A,A,A,B,B,B,C,B,C,B,C,A,B,D,B,C,B,E,C,D,D,B,E,C
Bryon,1829852,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Columbus,7835383,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sula,8499573,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Ardene,9713744,Reading,6,A,A,B,A,C,B,C,A,B,A,B,B,A,B,C,C,C,A,B,A,A,B,A,A,A,A,A,B,B,B,C,B,C,B,C,A,B,D,B,C,B,E,C,D,D,B,E,C
Coy,4839945,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Kalynn,4721113,Reading,6,A,A,B,A,C,B,C,A,B,A,B,B,A,B,C,C,C,A,B,A,A,B,A,A,A,A,A,B,B,B,C,B,C,B,C,A,B,D,B,C,B,E,C,D,D,B,E,C
Jhamir,9001181,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noelani,5073423,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Elgin,7944074,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Lewellyn,7452414,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
