Name,ID,Course,Level,Section,T1_Sr_Cont_R1,T1_Sr_Cont_R2,T1_Sr_Cont_R3,T1_Sr_Cont_AVE,T1_Sr_Org_R1,T1_Sr_Org_R2,T1_Sr_Org_R3,T1_Sr_Org_AVE,T1_Sr_Lu_R1,T1_Sr_Lu_R2,T1_Sr_Lu_R3,T1_Sr_Lu_AVE,T1_Sr_R1_tot,T1_Sr_R2_tot,T2_Cc_Cont_R1,T2_Cc_Cont_R2,T2_Cc_Cont_R3,T2_Cc_Cont_AVE,T2_Cc_Org_R1,T2_Cc_Org_R2,T2_Cc_Org_R3,T2_Cc_Org_AVE,T2_Cc_Lu_R1,T2_Cc_Lu_R2,T2_Cc_Lu_R3,T2_Cc_Lu_AVE,T2_Cc_R1_tot,T2_Cc_R2_tot
Tavares,9533647,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abigial,9612975,Writing,3,A,4.25,4.25,NA,4.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,12.75,13.5,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25
Milana,5730779,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Artis,9753300,Writing,3,A,4.25,5,NA,4.625,4.25,5,NA,4.625,3.75,4.25,NA,4,12.25,14.25,4.25,4.25,NA,4.25,3.75,5,NA,4.375,4.25,3.75,NA,4,12.25,13
Norville,5448831,Writing,3,A,4.25,5,NA,4.625,4.25,5,NA,4.625,3.75,4.25,NA,4,12.25,14.25,4.25,4.25,NA,4.25,3.75,5,NA,4.375,4.25,3.75,NA,4,12.25,13
Pasha,5369156,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stepfan,6525472,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Murel,1081930,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Gillis,1507336,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Katherin,3880479,Writing,3,A,5,5,NA,5,5,5,NA,5,5,5,NA,5,15,15,5,5,NA,5,4.25,4.25,NA,4.25,5,5,NA,5,14.25,14.25
