Name,ID,Course,Level,Section,Cover_Letter,Major_Assignment,Choices,Num_missing,CD_R1,CD_R2,CD_R3,CD_AVE,ORG_R1,ORG_R2,ORG_R3,ORG_AVE,LU_R1,LU_R2,LU_R3,LU_AVE,SU_R1,SU_R2,SU_R3,SU_AVE
Nayanna,7467720,Writing,5,A,Yes,Yes,Yes,0,37,36,NA,36.5,37,35,NA,36,37,32,NA,34.5,37,35,NA,36
Travers,6415950,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Zien,3188878,Writing,5,A,Yes,Yes,Yes,0,37,36,NA,36.5,37,35,NA,36,37,32,NA,34.5,37,35,NA,36
Serene,4577067,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Nashon,4858712,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irwin,7745869,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
Willean,8676766,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Markell,9264437,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kraig,1808035,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Traivon,7668496,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Augusta,7487501,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Alauna,8544419,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
